,Conditions,Drug,Smiles,Disease
4568,Ectopic Pregnancy,Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,cardiovascular_disease
4570,Multiple Myeloma|Non-Hodgkin's Lymphoma,Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,cardiovascular_disease
4579,Hypercholesterolemia|Statin-Associated Myopathy,Pravastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,cardiovascular_disease
4633,Carney Complex|Chondrosarcoma|Gastrointestinal Stromal Tumor|Paraganglioma,Linsitinib,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,cardiovascular_disease
4638,Peripheral Artery Disease,Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,cardiovascular_disease
4640,Hypertension Secondary to Kidney Transplant,Isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,cardiovascular_disease
4642,Portal Hypertension,Cobiprostone,CCC(C)CC(C1(CCC2C(O1)CC(=O)C2CCCCCCC(=O)O)O)(F)F,cardiovascular_disease
4646,Subarachnoid Hemorrhage,Prostacyclin,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,cardiovascular_disease
4677,Pulmonary Arterial Hypertension,Selexipag,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,cardiovascular_disease
4700,Pulmonary Hypertension,Hymecromone,CC1=CC(=O)OC2=C1C=CC(=C2)O,cardiovascular_disease
4702,Lumbar Spine Surgery|Thoracic Spine Surgery,Ropivacaine,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,cardiovascular_disease
4714,Acute Pancreatitis|Intra-abdominal Hypertension,Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,cardiovascular_disease
4730,Vascular Dementia,Ergoloid,CCC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O.CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O.CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O.CC(C)C1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,cardiovascular_disease
4828,Intermittent Claudication,Sapropterin,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,cardiovascular_disease
4832,"Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Leukemia|Lymphoma|Multiple Myeloma|MDS|Myelodysplastic/Myeloproliferative Diseases",Ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,cardiovascular_disease
4839,Cardiopulmonary Arrest|Fungal Infection,Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,cardiovascular_disease
4855,Sickle Cell Disease|Chronic Kidney Disease|Pulmonary Hypertension,Hydroxyurea,C(=O)(N)NO,cardiovascular_disease
4860,Adult B Acute Lymphoblastic Leukemia|Adult Nasal Type Extranodal NK/T-Cell Lymphoma|Adult Solid Neoplasm|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-Cell Lymphoma|Chronic Lymphocytic Leukemia|Cutaneous B-Cell Non-Hodgkin Lymphoma|Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue|Hepatosplenic T-Cell Lymphoma|Intraocular Lymphoma|Lymphomatous Involvement of Non-Cutaneous Extranodal Site|Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Nodal Marginal Zone Lymphoma|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-Cell Leukemia/Lymphoma|Recurrent Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides and Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Refractory Plasma Cell Myeloma|Small Intestinal Lymphoma|Splenic Marginal Zone Lymphoma|Testicular Lymphoma|Waldenstrom Macroglobulinemia,Veliparib,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,cardiovascular_disease
4862,Ataxia Telangiectasia,Triheptanoin,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,cardiovascular_disease
4881,Thromboembolism of Vein VTE in Colorectal Cancer|Thromboembolism of Vein in Pancreatic Cancer|Thromboembolism of Vein in Non-small Cell Lung Cancer,Isoquercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,cardiovascular_disease
4889,Pulmonary Hypertension,Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,cardiovascular_disease
4890,Pulmonary Hypertension,Albuterol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,cardiovascular_disease
4921,Thrombosis,Valproate,CCCC(CCC)C(=O)O,cardiovascular_disease
4933,Recurrent Multiple Myeloma|Refractory Multiple Myeloma,Telaglenastat,C1=CC=NC(=C1)CC(=O)NC2=NN=C(S2)CCCCC3=NN=C(C=C3)NC(=O)CC4=CC(=CC=C4)OC(F)(F)F,cardiovascular_disease
4948,Arterial Calcification|CD73 Deficiency,Etidronate,CC(O)(P(=O)(O)O)P(=O)(O)O,cardiovascular_disease
4986,Coarctation of Aorta,Bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,cardiovascular_disease
4992,Intraluminal Pulmonary Vein Stenosis,Vinblastine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,cardiovascular_disease
5142,"Acute Myeloid Leukemia|Acute Lymphocytic Leukemia|Chronic Lymphocytic Leukemia|Myelodysplasia|Lymphoma, Non-Hodgkin|Hodgkin's Lymphoma|Multiple Myeloma",Clioquinol,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,cardiovascular_disease
5145,Coronary Artery Disease|Percutaneous Coronary Intervention|Platelet Aggregation Inhibitors,Vicagrel,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3Cl)C(=O)OC,cardiovascular_disease
5171,Stroke|Rhabdomyolysis|Jaundice,Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,cardiovascular_disease
5179,Coronary Disease,Otamixaban,CC(C(CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=[N+](C=C3)[O-],cardiovascular_disease
5198,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,cardiovascular_disease
5199,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,cardiovascular_disease
5202,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,cardiovascular_disease
5204,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Cabazitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,cardiovascular_disease
5207,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Carboplatin,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],cardiovascular_disease
5212,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Dacomitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4,cardiovascular_disease
5213,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Darolutamide,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,cardiovascular_disease
5217,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Enasidenib,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O,cardiovascular_disease
