,Unnamed: 0,Conditions,Drug,Smiles,Phases,Study Status,Disease
6360,3321,Patients With Severe Chronic Kidney Disease Being Evaluated With Nuclear Stress Testing of the Heart Using the Stress Agent Regadenoson,Aminophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,APPROVED,,urinary_system_disease
6359,3311,Kidney Failure|Kidney Transplant; Complications|Chimera,Siplizumab,,PHASE1|PHASE2,,urinary_system_disease
6358,3301,Acute Pyelonephritis,Omadacycline,CC(C)(C)CNCC1=CC(=C2CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,PHASE2,,urinary_system_disease
6357,3268,Bladder Carcinoma|Refractory Bladder Carcinoma|Urinary Tract Infection,Clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,APPROVED,,urinary_system_disease
6356,3252,Growth Hormone Disorder|Adult Growth Hormone Deficiency|Growth Hormone Deficiency in Children,Somapacitan,C(CCCCCCCC1=NNN=N1)CCCCCCCC(=O)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)NC(CCC(=O)NC(CCC(=O)NCCOCCOCC(=O)NC(CCCCNC(=O)CSCC(C(=O)O)N)C(=O)N)C(=O)O)C(=O)O,PHASE1,,urinary_system_disease
6355,3245,Renal Function,Ulipristal,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,PHASE1,,urinary_system_disease
6354,3241,Chronic Kidney Disease|Proteinuria|Blood Pressure,Sitaxentan,CC1=CC2=C(C=C1CC(=O)C3=C(C=CS3)S(=O)(=O)NC4=C(C(=NO4)C)Cl)OCO2,PHASE2,,urinary_system_disease
6353,3236,"Renal Insufficiency, Chronic",Bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,PHASE2,,urinary_system_disease
6352,3234,Glioma|Hematopoietic and Lymphoid Cell Neoplasm|Lymphoma|Metastatic Malignant Solid Neoplasm|Neuroendocrine Neoplasm|Recurrent Adult Soft Tissue Sarcoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Chronic Lymphocytic Leukemia|Recurrent Colorectal Carcinoma|Recurrent Head and Neck Carcinoma|Recurrent Lung Carcinoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Pancreatic Carcinoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Prostate Carcinoma|Recurrent Renal Cell Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Chronic Lymphocytic Leukemia|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage III Breast Cancer AJCC v7|Stage III Colorectal Cancer AJCC v7|Stage III Cutaneous Melanoma AJCC v7|Stage III Lung Cancer AJCC v7|Stage III Pancreatic Cancer AJCC v6 and v7|Stage III Prostate Cancer AJCC v7|Stage III Renal Cell Cancer AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IIIA Breast Cancer AJCC v7|Stage IIIA Colorectal Cancer AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIB Colorectal Cancer AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IIIC Colorectal Cancer AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Breast Cancer AJCC v6 and v7|Stage IV Colorectal Cancer AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7|Stage IV Lung Cancer AJCC v7|Stage IV Pancreatic Cancer AJCC v6 and v7|Stage IV Prostate Cancer AJCC v7|Stage IV Renal Cell Cancer AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7|Unresectable Solid Neoplasm,Romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,PHASE1,,urinary_system_disease
6351,3227,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Lomustine,C1CCC(CC1)NC(=O)N(CCCl)N=O,PHASE2,,urinary_system_disease
6350,3220,Solid Tumors|Non-small Cell Lung Cancer|Renal Cell Carcinoma|Hepatocellular Carcinoma,Envafolimab,,PHASE1|PHASE2,,urinary_system_disease
6349,3217,"Pain, Chronic|Urge Incontinence|Overactive Bladder Syndrome|Quality of Life",Valacyclovir,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,PHASE1,,urinary_system_disease
6348,3216,"Pain, Chronic|Urge Incontinence|Overactive Bladder Syndrome|Quality of Life",Valaciclovir,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,PHASE1,,urinary_system_disease
6347,3212,Renal Impairment,Otamixaban,CC(C(CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=[N+](C=C3)[O-],PHASE1,,urinary_system_disease
6346,3203,Gram-Positive Bacterial Infections|Nephrotoxicity|Sepsis,Vancomycin,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,APPROVED,,urinary_system_disease
6345,3180,Depression,Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,APPROVED,,urinary_system_disease
6344,3177,Solid Tumor|Colorectal Cancer|Cholangiocarcinoma|Bladder Cancer|Ovarian Cancer|Gastric Cancer|Palpable Subcutaneous Malignant Lesions|Renal Cell Carcinoma|Melanoma|Epithelial Ovarian Cancer|Primary Peritoneal Cancer|Fallopian Tube Cancer,Imiquimod,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,PHASE1,,urinary_system_disease
6343,3151,Renal Insufficiency,Iberdomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3OCC4=CC=C(C=C4)CN5CCOCC5,PHASE1,,urinary_system_disease
6342,3147,Renal Impairment,Deflazacort,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,PHASE1,,urinary_system_disease
6341,3145,Chronic Hepatitis D Infection,Bulevirtide,,PHASE1,,urinary_system_disease
6340,3137,Adynamic Bone Disease|Chronic Kidney Diseases|Cardiac Disease|Chronic Kidney Disease-Mineral and Bone Disorder,Teriparatide,CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NC(CC1=CNC=N1)C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC2=CNC=N2)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(CCSC)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(C(C)C)C(=O)NC(CC5=CNC=N5)C(=O)NC(CC(=O)N)C(=O)NC(CC6=CC=CC=C6)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CO)N,APPROVED,,urinary_system_disease
6339,3131,Restless Legs Syndrome|End Stage Renal Disease,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,PHASE2,,urinary_system_disease
6338,3121,Urinary Stone,Cannabidiol,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,PHASE2|PHASE3,,urinary_system_disease
6337,3085,Chronic Kidney Disease|End Stage Renal Disease,Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,PHASE2,,urinary_system_disease
6336,3084,Renal Impairment,Phentermine,CC(C)(CC1=CC=CC=C1)N,PHASE1,,urinary_system_disease
6335,3082,Lupus Nephritis,Guselkumab,,PHASE2,,urinary_system_disease
6334,3066,Advanced Solid Tumors|Head and Neck Cancer|Pancreatic Cancer|Ovarian Cancer|Renal Cell Carcinoma|Malignant Glioma|Non-small Cell Lung Cancer,Cabiralizumab,,PHASE1,,urinary_system_disease
6333,3023,Diabetic Kidney Disease,Tilmanocept,,PHASE1,,urinary_system_disease
6332,3013,Enuresis,Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,APPROVED,,urinary_system_disease
6331,3008,"Kidney Failure, Chronic",Alisporivir,CCC1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)C)CC)C)C,PHASE1,,urinary_system_disease
6330,3006,Lupus Nephritis,Anifrolumab,,PHASE2,,urinary_system_disease
6329,2996,Wilms' Tumor|Sarcoma|Adenaocortical Carcinoma|Refractory Cancer|Coldrhood Cancer,Tariquidar,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4NC(=O)C5=CC6=CC=CC=C6N=C5)OC)OC)OC,PHASE1,,urinary_system_disease
6328,2992,Hiv|HIV Infections|HIV Lipodystrophy|Osteoporosis|Renal Insufficiency|Weight Gain|Obesity,Lamivudine,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,APPROVED,,urinary_system_disease
6327,2990,Lupus Nephritis,Tamibarotene,CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C,PHASE2,,urinary_system_disease
6326,2987,End-stage Kidney Disease,Methylcellulose,,PHASE2,,urinary_system_disease
6325,2946,Respiratory Tract Infections|Urinary Tract Infections,Sulbactam,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C,PHASE2,,urinary_system_disease
6324,2945,Respiratory Tract Infections|Urinary Tract Infections,Cefoperazone,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,PHASE2,,urinary_system_disease
6323,2932,Urinary Tract Infections,Temocillin,CC1(C(N2C(S1)C(C2=O)(NC(=O)C(C3=CSC=C3)C(=O)O)OC)C(=O)O)C,APPROVED,,urinary_system_disease
6322,2931,"Beta-thalassemia|Myelodysplastic Syndromes|Fanconi Syndrome|Anemia, Diamond-Blackfan|Anemia, Aplastic",Deferasirox,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,PHASE2,,urinary_system_disease
6321,2927,Kidney Disease,Eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,PHASE1,,urinary_system_disease
6320,2914,Hepatoblastoma|Previously Treated Childhood Rhabdomyosarcoma|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Myeloid Leukemia|Recurrent Childhood Kidney Neoplasm|Recurrent Childhood Malignant Germ Cell Tumor|Recurrent Childhood Rhabdomyosarcoma|Recurrent Childhood Soft Tissue Sarcoma|Recurrent Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor|Recurrent Neuroblastoma|Recurrent Osteosarcoma,Alisertib,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,PHASE2,,urinary_system_disease
6319,2909,Solid Tumor|Haematological Malignancy|Colorectal Neoplasms|Urinary Bladder Neoplasm|Gallbladder Neoplasms|Salivary Gland Neoplasm|Lung Neoplasm|Pancreatic Neoplasm|Ovarian Neoplasms|Prostatic Neoplasm|Skin Neoplasm,Pertuzumab,,PHASE2|PHASE3,,urinary_system_disease
6318,2897,Neuromuscular Blockade|Renal Impairment,Cisatracurium,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,PHASE2,,urinary_system_disease
6317,2894,Head and Neck Neoplasms|Lung Neoplasms|Urinary Bladder Neoplasms|Breast Neoplasms,Tetrahydrouridine,C1CN(C(=O)NC1O)C2C(C(C(O2)CO)O)O,PHASE2,,urinary_system_disease
6316,2818,HIV,Dolutegravir,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,APPROVED,,urinary_system_disease
6315,2817,Urinary Stress Incontinence,Duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,PHASE2,,urinary_system_disease
6314,2787,Acute Cystitis (Excl in Pregnancy),Amdinocillin,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C,APPROVED,,urinary_system_disease
6313,2781,Chronic Kidney Diseases|Major Depressive Disorder,Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,PHASE2,,urinary_system_disease
6312,2779,"Neoplasms|Neoplasms, Glandular and Epithelial|Neoplasms by Histologic Type|Bronchial Neoplasms|Lung Neoplasms|Respiratory Tract Neoplasms|Thoracic Neoplasms|Digestive System Neoplasms|Endocrine Gland Neoplasms|Carcinoma, Non-Small-Cell Lung|Lung Diseases|Breast Diseases|Renal Neoplasm|Solid Tumors",Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,PHASE1,,urinary_system_disease
6311,2775,Lupus Nephritis,Iguratimod,CS(=O)(=O)NC1=C(C=C2C(=C1)OC=C(C2=O)NC=O)OC3=CC=CC=C3,PHASE2,,urinary_system_disease
6310,2762,Renal Insufficiency,Setmelanotide,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(CCCN=C(N)N)NC(=O)C)C(=O)N)CC2=CNC3=CC=CC=C32)CCCN=C(N)N)CC4=CC=CC=C4)CC5=CN=CN5,PHASE1,,urinary_system_disease
6309,2741,"Diabetes Mellitus, Type 2|Albuminuria",Canagliflozin,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,APPROVED,,urinary_system_disease
6308,2739,Atrial Fibrillation and Flutter|Stroke|Major Bleed|End-stage Renal Disease,Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,APPROVED,,urinary_system_disease
6307,2733,Renal Insufficiency,Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,PHASE1,,urinary_system_disease
6306,2731,Renal Disease|End Stage Renal Disease,Droxidopa,C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,PHASE1,,urinary_system_disease
6305,2727,Prostate Cancer|Erectile Dysfunction|Lower Urinary Tract Symptoms,Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,PHASE2,,urinary_system_disease
6304,2721,Breast Cancer|Ovarian Cancer|Non Small Cell Lung Cancer|Colorectal Cancer|Pancreatic Cancer|Renal Cell Carcinoma|Nasopharyngeal Cancer|Head and Neck Squamous Cell Carcinoma|Gastric Cancer,Rimiducid,CCC(C1=CC(=C(C(=C1)OC)OC)OC)C(=O)N2CCCCC2C(=O)OC(CCC3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)OCC(=O)NCCNC(=O)COC5=CC=CC(=C5)C(CCC6=CC(=C(C=C6)OC)OC)OC(=O)C7CCCCN7C(=O)C(CC)C8=CC(=C(C(=C8)OC)OC)OC,PHASE1,,urinary_system_disease
6303,2718,Malignant Neoplasms of Urinary Tract|Bladder Cancer,Glycopyrrolate,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],APPROVED,,urinary_system_disease
6302,2717,Malignant Neoplasms of Urinary Tract|Bladder Cancer,Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,APPROVED,,urinary_system_disease
6301,2705,Renal Insufficiency,Tirofiban,CCCCS(=O)(=O)NC(CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O,PHASE1,,urinary_system_disease
6300,2697,Childhood Renal Cell Carcinoma|Clear Cell Renal Cell Carcinoma|Clear Cell Sarcoma of the Kidney|Papillary Renal Cell Carcinoma|Rhabdoid Tumor of the Kidney|Stage I Renal Cell Cancer|Stage I Renal Wilms Tumor|Stage II Renal Cell Cancer|Stage II Renal Wilms Tumor|Stage III Renal Cell Cancer|Stage III Renal Wilms Tumor|Stage IV Renal Cell Cancer|Stage IV Renal Wilms Tumor,Dactinomycin,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,PHASE2,,urinary_system_disease
6299,2687,Renal Cell Carcinoma|Hereditary Leiomyomatosis|Renal Cell Cancer,Vandetanib,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,PHASE1|PHASE2,,urinary_system_disease
6298,2686,Renal Impairment,Brensocatib,CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)CC(C#N)NC(=O)C4CNCCCO4)OC1=O,PHASE1,,urinary_system_disease
6297,2681,End Stage Renal Disease|Peritoneal Dialysis,Chlorhexidine,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,APPROVED,,urinary_system_disease
6296,2678,End Stage Renal Disease,Plazomicin,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CNCCO)N)N)NC(=O)C(CCN)O)O,PHASE1,,urinary_system_disease
6295,2671,Diabetic Nephropathy,Topiroxostat,C1=CN=CC=C1C2=NC(=NN2)C3=CC(=NC=C3)C#N,PHASE2,,urinary_system_disease
6294,2656,Uremic Pruritus,Nalfurafine,CN(C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O)C(=O)C=CC7=COC=C7,PHASE2,,urinary_system_disease
6293,2625,Metastatic Non-small Cell Lung Cancer|Locally Advanced Urothelial Cancer|Metastatic Urothelial Cancer|Unresectable Melanoma|Metastatic Melanoma|Locally Advanced Renal Cell Carcinoma|Metastatic Clear-Cell Renal Cell Carcinoma,Retifanlimab,,PHASE2,,urinary_system_disease
6292,2621,Non Clear Cell Renal Carcinoma,Sintilimab,,PHASE2,,urinary_system_disease
6291,2588,Healthy,Megestrol,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,PHASE1,,urinary_system_disease
6290,2546,Proteinuria|Idiopathic Membranous Nephropathy,Corticotropin,CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)C)NC(=O)C6CCCN6C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CO)N,APPROVED,,urinary_system_disease
6289,2544,Clinical Stage IV Cutaneous Melanoma AJCC v8|Metastatic Colorectal Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Melanoma|Metastatic Ovarian Carcinoma|Metastatic Renal Cell Carcinoma|Platinum-Resistant Ovarian Carcinoma|Recurrent Melanoma|Recurrent Renal Cell Carcinoma|Refractory Melanoma|Refractory Renal Cell Carcinoma|Sarcoma|Stage IV Colorectal Cancer AJCC v8|Stage IV Ovarian Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8,Aflibercept,,PHASE1,,urinary_system_disease
6288,2536,Acute Renal Failure|Infection,Anidulafungin,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O,PHASE2,,urinary_system_disease
6287,2521,Stage III Cutaneous Melanoma|Stage IV Cutaneous Melanoma|Locally Advanced Melanoma|Locally Advanced Solid Neoplasm|Metastatic Head and Neck Squamous Cell Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Melanoma|Metastatic Urothelial Carcinoma|Non-Small Cell Lung Carcinoma|Stage IB Lung Cancer AJCC v7|Stage III Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8|Stage III Lung Cancer AJCC v8|Stage III Ureter Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IV Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8|Stage IV Lung Cancer AJCC v8|Stage IV Ureter Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,PHASE1,,urinary_system_disease
6286,2516,Kidney Transplantation|Kidney Disease,Nystatin,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,PHASE1|PHASE2,,urinary_system_disease
6285,2515,Kidney Transplantation|Kidney Disease,Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,PHASE1|PHASE2,,urinary_system_disease
6284,2514,Kidney Transplantation|Kidney Disease,Pentamidine,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,PHASE1|PHASE2,,urinary_system_disease
6283,2513,Kidney Transplantation|Kidney Disease,Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,PHASE1|PHASE2,,urinary_system_disease
6282,2504,Renal Impairment,Inclisiran,CC(=O)NC1C(C(C(OC1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCOC2C(C(C(C(O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCOC3C(C(C(C(O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4CC(CC4COP(=O)(O)O)O)CO)O)O,PHASE1,,urinary_system_disease
6281,2501,Metastatic Melanoma|Metastatic Renal Cancer,Zanolimumab,,PHASE2,,urinary_system_disease
6280,2498,"Urinary Incontinence, Stress|Fecal Incontinence",Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,PHASE1,,urinary_system_disease
6279,2476,Proteinuria,Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,APPROVED,,urinary_system_disease
6278,2469,"Renal Disease, End Stage",Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,PHASE1,,urinary_system_disease
6277,2462,Albuminuria,Montelukast,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,APPROVED,,urinary_system_disease
6276,2459,Chronic Kidney Disease|Proteinuria,Rosuvastatin,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,APPROVED,,urinary_system_disease
6275,2441,T2DM (Type 2 Diabetes Mellitus)|Metformin|SGLT2-Inhibitors,Tofogliflozin,CCC1=CC=C(C=C1)CC2=CC3=C(COC34C(C(C(C(O4)CO)O)O)O)C=C2,PHASE2,,urinary_system_disease
6274,2426,Heart Failure|Renal Insufficiency,Simendan,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,APPROVED,,urinary_system_disease
6273,2425,Heart Failure|Renal Insufficiency,Levosimendan,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,APPROVED,,urinary_system_disease
6272,2411,Renal Cell Carcinoma,Brivanib,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C,PHASE2,,urinary_system_disease
6271,2406,Chronic Kidney Disease|Proteinuria,Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,PHASE1,,urinary_system_disease
6270,2401,Chronic Kidney Disease|Cardiovascular Disease,Rilonacept,,PHASE2,,urinary_system_disease
