,Conditions,Drug,Smiles,Phases,Disease
1810,Parkinson Disease,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,PHASE2,metabolic_disease
1811,Fabry Disease,Lucerastat,CCCCN1CC(C(C(C1CO)O)O)O,PHASE1,metabolic_disease
1812,Obesity|Insulin Resistance,Fenretinide,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C,PHASE2,metabolic_disease
1813,Diabetes,Apixaban,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,APPROVED,metabolic_disease
1814,Diabetes,Edoxaban,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,APPROVED,metabolic_disease
1815,Congenital Adrenal Hyperplasia (CAH),Fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,APPROVED,metabolic_disease
1816,Congenital Adrenal Hyperplasia (CAH),Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,APPROVED,metabolic_disease
1817,Friedreich Ataxia,Artesunate,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,PHASE1|PHASE2,metabolic_disease
1818,ALS (Amyotrophic Lateral Sclerosis),Lunasine,CC(C)C1CC2=C(C3=C(C(=CC=C3)OC)[N+](=C2O1)C)OC,PHASE2,metabolic_disease
1819,Alzheimer Disease,Azeliragon,CCCCC1=NC(=CN1C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)OCCCN(CC)CC,PHASE2,metabolic_disease
1820,Metabolic Acidosis,Meglumine,CNCC(C(C(C(CO)O)O)O)O,PHASE2,metabolic_disease
1821,MItochondrial Myopathies,Omaveloxolone,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)NC(=O)C(C)(F)F)C,PHASE2,metabolic_disease
1822,Amyotrophic Lateral Sclerosis,Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,PHASE1|PHASE2,metabolic_disease
1823,Prostate Cancer|Metabolic Syndrome|Hypogonadism|Fatty Liver,Triptorelin,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,APPROVED,metabolic_disease
1824,Osteoporosis,Lasofoxifene,C1CCN(C1)CCOC2=CC=C(C=C2)C3C(CCC4=C3C=CC(=C4)O)C5=CC=CC=C5,PHASE2,metabolic_disease
1825,Hypertension,Trandolapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,APPROVED,metabolic_disease
1827,Anatomic Stage IV Breast Cancer AJCC v8|Invasive Breast Lobular Carcinoma|Metastatic Breast Lobular Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8,Fluciclovine,C1C(CC1(C(=O)O)N)F,PHASE1,metabolic_disease
1828,Cytomegalovirus Infections|HIV Infections|Hypocalcemia,Foscarnet,C(=O)(O)P(=O)(O)O,APPROVED,metabolic_disease
1829,Breast Cancer|Metastatic Triple-Negative Breast Cancer,Eribulin,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O,PHASE2,metabolic_disease
1830,Type 2 Diabetes Mellitus,Fasiglifam,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C,PHASE2,metabolic_disease
1831,"Acute Intermittent Porphyria (AIP)|Acute Hepatic Porphyria (AHP)|Porphyria, Acute Intermittent|Acute Porphyria",Givosiran,CC1CC(CN1C(=O)CCCCCCCCCCC(=O)NC(COCCC(=O)NCCCNC(=O)CCCCOC2C(C(C(C(O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCOC3C(C(C(C(O3)CO)O)O)NC(=O)C)COCCC(=O)NCCCNC(=O)CCCCOC4C(C(C(C(O4)CO)O)O)NC(=O)C)O,PHASE1,metabolic_disease
1832,HIV Infections,Enfuvirtide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,APPROVED,metabolic_disease
1833,Insulin Resistance|Healthy|Obesity,Phentolamine,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,PHASE1,metabolic_disease
1834,Mucopolysaccharidosis VI,Odiparcil,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CS3)O)O)O,PHASE2,metabolic_disease
1835,Fungal Disease,Ibrexafungerp,CC(C)C(C)C1(CCC2(C3CCC4C5(COCC4(C3=CCC2(C1C(=O)O)C)CC(C5OCC(C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C,PHASE1,metabolic_disease
1836,HIV-Associated Lipodystrophy Syndrome|Cardiovascular Disease,Didanosine,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,APPROVED,metabolic_disease
1837,HIV-Associated Lipodystrophy Syndrome|Cardiovascular Disease,Indinavir,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,APPROVED,metabolic_disease
1838,HIV-Associated Lipodystrophy Syndrome|Cardiovascular Disease,Amprenavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,APPROVED,metabolic_disease
1839,HIV-Associated Lipodystrophy Syndrome|Cardiovascular Disease,Tipranavir,CCCC1(CC(=C(C(=O)O1)C(CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,APPROVED,metabolic_disease
1840,Hypertension|Insulin Resistance,Norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O,PHASE1,metabolic_disease
1841,Pre-Diabetes,Neomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,PHASE2,metabolic_disease
1842,Pre-Diabetes,Clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,PHASE2,metabolic_disease
1843,Primary Mitochondrial Myopathy,Bocidelpar,CC1=CN=C(N1CC2=CC=CC=C2OCCCC(C)CC(=O)O)C3=CC=C(C=C3)C(F)(F)F,PHASE2|PHASE3,metabolic_disease
1844,Multiple Myeloma|Amyloidosis,Vinorelbine,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,PHASE2,metabolic_disease
1845,Cardiovascular Disease|High Cardiovascular Risk|Obesity|Overweight|Type 2 Diabetes,Lorcaserin,CC1CNCCC2=C1C=C(C=C2)Cl,APPROVED,metabolic_disease
1846,Hypertriglyceridemia|Obesity,Setmelanotide,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(CCCN=C(N)N)NC(=O)C)C(=O)N)CC2=CNC3=CC=CC=C32)CCCN=C(N)N)CC4=CC=CC=C4)CC5=CN=CN5,PHASE2,metabolic_disease
1847,B-Cell Non-Hodgkin Lymphoma,Doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,PHASE2,metabolic_disease
1848,B-Cell Non-Hodgkin Lymphoma,Vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,PHASE2,metabolic_disease
1849,Amyloidosis,Idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,PHASE2,metabolic_disease
1850,Menkes Disease|Occipital Horn Syndrome,Droxidopa,C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,PHASE1|PHASE2,metabolic_disease
1851,Recurrent Malignant Glioma,Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,PHASE2,metabolic_disease
1852,Dyslipidemia,Muraglitazar,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CN(CC(=O)O)C(=O)OC4=CC=C(C=C4)OC,PHASE2|PHASE3,metabolic_disease
1853,Atherosclerosis|Heterozygous Familial Hypercholesterolemia,Pactimibe,CCCCCCCCN1CCC2=C(C(=C(C(=C21)NC(=O)C(C)(C)C)C)CC(=O)O)C,PHASE2|PHASE3,metabolic_disease
1854,Venous Thromboembolism|Deep Venous Thrombosis|Pulmonary Embolus|Reconstructive Surgery,Enoxaparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,PHASE2,metabolic_disease
1855,HIV Infections,Sulforaphane,CS(=O)CCCCN=C=S,APPROVED,metabolic_disease
1856,Panic Disorder,Paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,APPROVED,metabolic_disease
1857,Amyotrophic Lateral Sclerosis,Nitrofural,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,PHASE2,metabolic_disease
1858,Amyotrophic Lateral Sclerosis,Nitrofurazone,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,PHASE2,metabolic_disease
1859,Post-menopausal Osteoporosis,Phylloquinone,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,PHASE2|PHASE3,metabolic_disease
1860,"Gaucher Disease, Type 1|Type 1 Gaucher Disease|Gaucher Disease",Afegostat,C1C(C(C(CN1)O)O)CO,PHASE2,metabolic_disease
1861,"Diabetes Mellitus, Type I|Diabetes Mellitus, Insulin-Dependent, 1|Type 1 Diabetes Mellitus|Insulin-Dependent Diabetes Mellitus 1|IDDM",Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,PHASE2,metabolic_disease
1862,Acute Gout Flare|Gout Attack|Gout Flare|Gouty Arthritis|Gout|Arthritis|Joint Pain,Dapansutrile,CS(=O)(=O)CCC#N,PHASE2|PHASE3,metabolic_disease
1863,Hyperlipidemia,Tetraethylammonium,CC[N+](CC)(CC)CC,PHASE2,metabolic_disease
1864,Hyperlipidemia,Bradykinin,C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O,PHASE2,metabolic_disease
1866,Gout Attack,Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,PHASE2,metabolic_disease
1867,Amyloidosis|Immunoglobulin Light Chain Deposition,Ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,PHASE2,metabolic_disease
1868,Lean Body Mass|Cannabis|Cancer|Nausea|Cachexia|Emesis|Appetitive Behavior,Cannabidiol,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,PHASE1,metabolic_disease
1870,Dehydrated Hereditary Stomatocytosis,Senicapoc,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=C(C=C3)F)C(=O)N,PHASE1|PHASE2,metabolic_disease
1871,"Hepatic Encephalopathy|Cirrhosis, Liver",Rifamycin,CC1C=CC=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C,PHASE2,metabolic_disease
1872,Glucose Intolerance|Overweight and Obesity|Drug Effect|Adiposity,Cyanocobalamin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],APPROVED,metabolic_disease
1873,MELAS Syndrome,Citrulline,C(CC(C(=O)O)N)CNC(=O)N,PHASE1,metabolic_disease
1874,Type 2 Diabetes Mellitus,Bethanechol,CC(C[N+](C)(C)C)OC(=O)N,PHASE1,metabolic_disease
1876,"Diabetes Mellitus, Type 1",Abrocitinib,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,PHASE2,metabolic_disease
1877,Irritable Bowel Syndrome With Diarrhea,Eluxadoline,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,APPROVED,metabolic_disease
1878,"Diabetes Mellitus, Insulin-Dependent",Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,PHASE2,metabolic_disease
1879,"Diabetes Mellitus, Insulin-Dependent",Ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,PHASE2,metabolic_disease
1880,"Diabetes Mellitus, Insulin-Dependent",Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,PHASE2,metabolic_disease
1881,"Diabetes Mellitus, Insulin-Dependent",Pentamidine,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,PHASE2,metabolic_disease
1882,Frontotemporal Dementia,Flortaucipir,C1=CC2=C(C=C1C3=CN=C(C=C3)F)NC4=C2C=NC=C4,PHASE1,metabolic_disease
1883,Contraceptive Usage,Ulipristal,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,APPROVED,metabolic_disease
1884,Infantile Neuroaxonal Dystrophy,Desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,APPROVED,metabolic_disease
1885,Hepatic Encephalopathy|Liver Cirrhosis,Flumazenil,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,PHASE1|PHASE2,metabolic_disease
1886,"Diabetes Mellitus, Type II|Periodontitis",Chlorhexidine,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,PHASE2,metabolic_disease
1887,Anti-Psychotic|Management of Manifestations of Psychotic Disorders|Treatment of Schizophrenia|Control Nausea and Vomiting|Relief of Restlessness and Apprehension Before Surgery|Acute Intermittent Porphyria|Adjunct in the Treatment of Tetanus|Control Manifestations of the Manic Type of Mani-depressive Illness|Relief of Intractable Hiccups,Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,PHASE1,metabolic_disease
1888,Albinism,Levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,PHASE2,metabolic_disease
1889,Metastatic Colorectal Cancer,Fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,PHASE1|PHASE2,digestive_system_disease
1890,Hepatitis B,Entecavir,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N,PHASE2|PHASE3,digestive_system_disease
1892,Gastric Cancer,Rivoceranib,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,PHASE2,digestive_system_disease
1893,Gastric Cancer,Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],PHASE2,digestive_system_disease
1894,Gastric Cancer,Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,APPROVED,digestive_system_disease
1895,Gastric Cancer,Ropivacaine,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,APPROVED,digestive_system_disease
1896,Irritable Bowel Syndrome,Eluxadoline,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,PHASE2,digestive_system_disease
1897,Colorectal Cancer,Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,PHASE1,digestive_system_disease
1899,Esophagus Cancer|Chemoradiotherapy|Oligometastatic Disease|Immunotherapy,Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,PHASE2,digestive_system_disease
1900,Esophagus Cancer|Chemoradiotherapy|Oligometastatic Disease|Immunotherapy,Cisplatin,N.N.Cl[Pt]Cl,PHASE2,digestive_system_disease
1902,Prader-Willi Syndrome|Hyperphagia,Livoletide,CC(C)C1C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCN=C(N)N)CCC(=O)N)CC3=CN=CN3)CCC(=O)O)CO)CCC(=O)N,PHASE2|PHASE3,digestive_system_disease
1903,Esophageal Neoplasm,Tegafur,C1CC(OC1)N2C=C(C(=O)NC2=O)F,PHASE2,digestive_system_disease
1904,HIV Infection|Hepatitis C Infection,Nitazoxanide,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],PHASE2,digestive_system_disease
1905,HIV Infection|Hepatitis C Infection,Ribavirin,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,PHASE2,digestive_system_disease
1906,"Carcinoma, Hepatocellular",Meclizine,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,PHASE1,digestive_system_disease
1907,Biliary Carcinoma,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,PHASE2,digestive_system_disease
1908,Hepatocellular Carcinoma,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,PHASE2,digestive_system_disease
1909,Hepatocellular Carcinoma,Metformin,CN(C)C(=N)N=C(N)N,PHASE2,digestive_system_disease
1911,Metastatic Gastric Cancer|Locally Advanced Gastric Cancer,Leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE2,digestive_system_disease
1912,Gastrointestinal Tumors|Pancreatic Tumors|Gastrointestinal Neuroendocrine Tumors|Pancreatic Neuroendocrine Tumors,Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,PHASE2,digestive_system_disease
1913,Colorectal Cancer,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,PHASE2|PHASE3,digestive_system_disease
1914,Colorectal Cancer,Ciclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,PHASE2|PHASE3,digestive_system_disease
1915,Chronic Hepatitis C,Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,APPROVED,digestive_system_disease
1916,Chronic Hepatitis C,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,APPROVED,digestive_system_disease
1918,Hepatitis B,Tenofovir,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,PHASE2,digestive_system_disease
1919,Biliary Tract Cancer,Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,PHASE1|PHASE2,digestive_system_disease
1920,Stomach Ulcer,Rebamipide,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,APPROVED,digestive_system_disease
1921,Carcinoma of the Oesophagus,Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,PHASE1,digestive_system_disease
1922,Inoperable or Recurrent or Metastatic Esophageal Squamous Carcinoma,Poziotinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C,PHASE2,digestive_system_disease
1924,Non-alcoholic Steatohepatitis,Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,PHASE2,digestive_system_disease
1925,Non-alcoholic Steatohepatitis,Levocarnitine,C[N+](C)(C)CC(CC(=O)[O-])O,PHASE2,digestive_system_disease
1926,Non-alcoholic Steatohepatitis,Carnitine,C[N+](C)(C)CC(CC(=O)[O-])O,PHASE2,digestive_system_disease
1927,Esophagus Adenocarcinoma|Esophagus Squamous Cell Carcinoma|Gastroesophageal Junction Adenocarcinoma,Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,PHASE2,digestive_system_disease
1928,Pancreatic Neuroendocrine Tumors,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,PHASE2,digestive_system_disease
1929,HCV HIV,Ledipasvir,CC(C)C(C(=O)N1CC2(CC2)CC1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)C9C1CCC(C1)N9C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,APPROVED,digestive_system_disease
1930,HCV HIV,Sofosbuvir,CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,APPROVED,digestive_system_disease
1932,Abdominal Pain|Inflammatory Bowel Diseases|Eosinophilic Gastroenteritis|Diarrhea|Hematochezia|Weight Loss,Ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,APPROVED,digestive_system_disease
1933,Colonic Neoplasms,Levoleucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE1|PHASE2,digestive_system_disease
1934,Liver Transplant With Clinically Significant Portal Hypertension,Somatostatin,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O,PHASE1,digestive_system_disease
1935,Hepatocellular Carcinoma (HCC),Icaritin,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)OC)O)C,PHASE2,digestive_system_disease
1936,Cystic Fibrosis|Systemic Inflammation,Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,PHASE1|PHASE2,digestive_system_disease
1937,Pancreatic Adenocarcinoma|Resectable Pancreatic Carcinoma|Stage I Pancreatic Cancer|Stage IA Pancreatic Cancer|Stage IB Pancreatic Cancer|Stage II Pancreatic Cancer|Stage IIA Pancreatic Cancer|Stage IIB Pancreatic Cancer|Stage III Pancreatic Cancer,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,PHASE2,digestive_system_disease
1938,Pancreatic Adenocarcinoma|Resectable Pancreatic Carcinoma|Stage I Pancreatic Cancer|Stage IA Pancreatic Cancer|Stage IB Pancreatic Cancer|Stage II Pancreatic Cancer|Stage IIA Pancreatic Cancer|Stage IIB Pancreatic Cancer|Stage III Pancreatic Cancer,Nelfinavir,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,PHASE2,digestive_system_disease
1941,Gastric Cancer|Stomach Cancer,Floxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,PHASE2,digestive_system_disease
